date | value
2011-01-03 | 3
2011-01-03 | 2
|
2021-12-12|
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 | 7
2012-01-11 | 1
2012-01-11 | 2147483648
| 5
2021-09-15| 47
2021-09-18| 7
2021-09-21| 42
2021-09-24| 888.8
2021-09-27| 431.63|s2
2021-09-30| 415.38
2021-10-03
2021-12-12 12
2021-15-31 | 8
2021-02-30 | 45
2100-02-29 | 42
2024-02-29 | 42
2021-02-29 | 42
2021-01-31 | 42
2021-02-31 | 42
2021-03-31 | 42
2021-04-31 | 42
2021-05-31 | 42
2021-06-31 | 42
2021-07-31 | 42
2021-08-31 | 42
2021-09-31 | 42
2021-10-31 | 42
2021-11-30 | 42
2021-11-31 | 42
2021-12-31 | 42
900-12-12 | 12
-00-12-12 | 12
-0-0-12-12 | 12
2012-12-12 | 5..5
2012-12-12 | .5.5
2012-12-12 | 55.
2012-12-12 | 55..
2012-12-12 | 55.1
2012-12-12 | | 55.1
2012-12--120  | 55.1
2012-12-12  | 55.1
1-12-12 | 4
-12-12 | 2
1111-5-1a | 9
1111-1a-1a | 9

